[0] x:0 y:675
[1] x:6 y:666
[2] x:12 y:672
[3] x:18 y:666
[4] x:25 y:661
[5] x:31 y:663
[6] x:37 y:670
[7] x:43 y:670
[8] x:50 y:672
[9] x:56 y:677
[10] x:62 y:672
[11] x:68 y:668
[12] x:75 y:661
[13] x:81 y:665
[14] x:87 y:665
[15] x:93 y:655
[16] x:100 y:664
[17] x:106 y:666
[18] x:112 y:658
[19] x:118 y:650
[20] x:125 y:661
[21] x:131 y:660
[22] x:137 y:659
[23] x:143 y:658
[24] x:150 y:657
[25] x:156 y:656
[26] x:162 y:656
[27] x:168 y:656
[28] x:175 y:656
[29] x:181 y:656
[30] x:187 y:656
[31] x:193 y:656
[32] x:200 y:656
[33] x:206 y:656
[34] x:212 y:656
[35] x:218 y:656
[36] x:225 y:656
[37] x:231 y:656
[38] x:237 y:656
[39] x:243 y:656
[40] x:250 y:656
[41] x:256 y:656
[42] x:262 y:656
[43] x:268 y:656
[44] x:275 y:656
[45] x:281 y:656
[46] x:287 y:657
[47] x:293 y:658
[48] x:300 y:659
[49] x:306 y:660
[50] x:312 y:680
[51] x:318 y:685
[52] x:325 y:689
[53] x:331 y:683
[54] x:337 y:686
[55] x:343 y:679
[56] x:350 y:670
[57] x:356 y:661
[58] x:362 y:658
[59] x:368 y:653
[60] x:375 y:656
[61] x:381 y:664
[62] x:387 y:673
[63] x:393 y:680
[64] x:400 y:679
[65] x:406 y:673
[66] x:412 y:679
[67] x:418 y:684
[68] x:425 y:683
[69] x:431 y:681
[70] x:437 y:689
[71] x:443 y:694
[72] x:450 y:703
[73] x:456 y:711
[74] x:462 y:708
[75] x:468 y:699
[76] x:475 y:702
[77] x:481 y:709
[78] x:487 y:710
[79] x:493 y:704
[80] x:500 y:698
[81] x:506 y:694
[82] x:512 y:691
[83] x:518 y:693
[84] x:525 y:692
[85] x:531 y:692
[86] x:537 y:683
[87] x:543 y:683
[88] x:550 y:692
[89] x:556 y:697
[90] x:562 y:699
[91] x:568 y:694
[92] x:575 y:690
[93] x:581 y:685
[94] x:587 y:690
[95] x:593 y:698
[96] x:600 y:702
[97] x:606 y:697
[98] x:612 y:704
[99] x:618 y:697
[100] x:625 y:690
[101] x:631 y:695
[102] x:637 y:687
[103] x:643 y:684
[104] x:650 y:681
[105] x:656 y:676
[106] x:662 y:679
[107] x:668 y:678
[108] x:675 y:680
[109] x:681 y:689
[110] x:687 y:690
[111] x:693 y:691
[112] x:700 y:690
[113] x:706 y:684
[114] x:712 y:680
[115] x:718 y:683
[116] x:725 y:692
[117] x:731 y:691
[118] x:737 y:696
[119] x:743 y:693
[120] x:750 y:699
[121] x:756 y:705
[122] x:762 y:711
[123] x:768 y:712
[124] x:775 y:704
[125] x:781 y:710
[126] x:787 y:714
[127] x:793 y:714
[128] x:800 y:721
[129] x:806 y:730
[130] x:812 y:730
[131] x:818 y:732
[132] x:825 y:737
[133] x:831 y:743
[134] x:837 y:744
[135] x:843 y:743
